,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,period,has_any_missing_value,n_missing_values
54,6_1,0.017297751803649,0.5867992862472194,0.0397132718810964,-0.5854836072942937,0.7197933645066978,0.4000566394525819,0.8721726455413223,-0.7917121609111982,0.3418656037116512,0.2980543119070328,0.0232736936510297,0.5511287577054222,0.147504482929507,0.0559554225242914,median,2020-01-01,653,6,reference,buda,Buda,buda_aoi.geojson,1577836800000,annual,2020,current,False,0
55,7_1,0.0164655058546561,0.5512636109391094,0.0401381982526135,-0.5848685052699601,0.6798888443929944,0.3592573960122074,0.8485132860949595,-0.7790060570826207,0.3258656203441971,0.2766899379054577,0.0263242018473389,0.5251858005342301,0.154005424200642,0.0623140525106498,median,2021-01-01,75,7,reference,buda,Buda,buda_aoi.geojson,1609459200000,annual,2021,current,False,0
56,8_1,0.0201096615709085,0.608056128225199,0.0432103442386957,-0.5657869005278399,0.7056110726141632,0.3873223959888111,0.8685568616652665,-0.7790198173916988,0.3534749086650589,0.3075815171155321,0.0246483251681065,0.5604845779691284,0.156364514528725,0.0614473043750665,median,2022-01-01,532,8,reference,buda,Buda,buda_aoi.geojson,1640995200000,annual,2022,current,False,0
57,9_1,0.0153833039884583,0.5720010751134743,0.0397137207764859,-0.5734428058232813,0.7131165935615508,0.3986916031010129,0.8668802102916476,-0.7894527948385573,0.3382344007149639,0.2919757814017602,0.0239883640018271,0.5437779027441595,0.1457056511628636,0.0565541087627062,median,2023-01-01,756,9,reference,buda,Buda,buda_aoi.geojson,1672531200000,annual,2023,current,False,0
58,10_1,0.015019299541937,0.5931110294772863,0.0383829648678721,-0.5725140425154901,0.7313656894808972,0.4235665174136359,0.8809960499807182,-0.7997436289461604,0.344971861399293,0.3041989027458517,0.0215505491097527,0.5587828462585602,0.1407574591337038,0.0533320154245254,median,2024-01-01,778,10,reference,buda,Buda,buda_aoi.geojson,1704067200000,annual,2024,current,False,0
59,11_1,0.0171291150490227,0.5750556569652288,0.0409153760946047,-0.5662359081358161,0.7208956132701608,0.4063920450414188,0.8633978315034794,-0.7856107119123157,0.3379482796708897,0.2920822544471415,0.0247395870832958,0.5440673260164625,0.1450162645344878,0.0554907547404066,median,2025-01-01,456,11,reference,buda,Buda,buda_aoi.geojson,1735689600000,annual,2025,current,False,0
60,0_2,0.0390070203837171,0.4902548246922039,0.062690375072356,-0.5087897109568724,0.521733247123697,0.2375914826804939,0.7086810168874715,-0.6600550317455642,0.3138171544468331,0.2290883557838774,0.0527653253660415,0.4506791063852606,0.1969122217729499,0.1017033092020614,median,2014-01-01,17,0,reference,gogoni,Gogoni,gogoni_aoi.geojson,1388534400000,annual,2014,baseline,False,0
61,1_2,0.0431793735438568,0.5199615969420527,0.0690089839708351,-0.4980490647096374,0.5367572935962988,0.2409388719554261,0.7165015973567144,-0.6546752297767499,0.33415983031839,0.2430967254301295,0.0548552276182611,0.4698901144274535,0.2078421017250743,0.1033919116445826,median,2015-01-01,18,1,reference,gogoni,Gogoni,gogoni_aoi.geojson,1420070400000,annual,2015,baseline,False,0
62,2_2,0.0376030071260222,0.4532320482130467,0.060806692310885,-0.5331510553051015,0.4875989056386876,0.202672396725574,0.6917269820339896,-0.6559813237982043,0.2952106505848062,0.2080668120818732,0.0533717135479217,0.4249656783901104,0.2029276280079854,0.1067939763534064,median,2016-01-01,247,2,reference,gogoni,Gogoni,gogoni_aoi.geojson,1451606400000,annual,2016,baseline,False,0
63,3_2,0.0388296926442687,0.4817719355273351,0.0632667448132493,-0.5231430332319228,0.5107185096586094,0.2235132435958492,0.7090359159540587,-0.6609405704911089,0.3116976136506143,0.2236009325345028,0.0531322283245878,0.4468272036072534,0.2045235969430456,0.1066402842732569,median,2017-01-01,312,3,reference,gogoni,Gogoni,gogoni_aoi.geojson,1483228800000,annual,2017,baseline,False,0
64,4_2,0.0333001416546277,0.5173558173395063,0.0582437455956076,-0.5252156989899042,0.574759357571089,0.2697951635085834,0.7604613471759112,-0.6909322418268451,0.3184651332798668,0.2440616344833108,0.0436892815111257,0.4772186050029292,0.1876896413379802,0.0895599395223102,median,2018-01-01,670,4,reference,gogoni,Gogoni,gogoni_aoi.geojson,1514764800000,annual,2018,current,False,0
